Gatunek,prob nektaru,Kolor,lwo_zew,lwo_wew,laszo,lasow,p1,p2,mid_dia,szypulka,petal_length,pyl_length,Odl pyl od znam,odl pyl-pl,Dl znam,Dl szyjki,lknp,Nachylenie,volume,concentration,weight
F. acmopetala,,1,,14,9,4,40.95,42.18,27.58,30.71,33.89,28.63,1.71,8.36,23.81,10.84,1,45,35,16.5,0.03784
F. acmopetala,,1,,,17,2,44.74,39.21,26.61,32.68,33.89,29.49,1.62,8.31,,,,,24,35.25,0.03021
F. acmopetala,,1,,,9,0,44.93,44.77,28.71,46.9,31.32,28.61,1.7,7.64,,,,,5,11,0.00519
F. acmopetala,,1,,,9,,40.39,40.62,24.05,48.83,32.39,27.85,1.7,7.64,,,,,9.8,26.5,0.01169
F. acmopetala,,1,,,9,,42.61,42.85,26.79,56.6,35.72,27.85,1.92,9.38,,,,,40,21,0.03113
F. acmopetala,,1,,,2,,49.04,46,28.99,23.39,34.83,27.85,1.92,11.56,,,,,34,35.25,0.03423
F. acmopetala,43,1,,,3,,32.93,30.53,24.69,28.41,32.52,17.7,2.15,10.39,20.86,11.21,2,60,33.5,42,0.03692
F. acmopetala,,1,,,17,,35.93,37.77,28.91,36.92,32.52,16.27,2.15,6.64,,,,,4,59,
F. acmopetala,,1,,,12,,47.36,47.34,30.46,25.48,36.46,17.61,1.66,6.67,,,,,36,49,0.03944
F. acmopetala,,1,,,,,48.37,47.61,32.55,49.65,33.81,18.23,2.66,8.64,,,,,37,46,0.04109
F. acmopetala,,1,,,,,40.07,37.96,28.48,47.54,33.81,17,2.08,9.45,,,,,19.5,41.5,0.01893
F. acmopetala,,1,,,,,35.82,37.68,27.05,31.77,33.81,17,2.08,10.55,,,,,4,34.5,0.00668
F. acmopetala,,1,,,,,44.73,45.56,29.63,46.59,38.92,21.49,0.55,8.22,8.1,7.46,,70,60,47.25,0.06226
F. acmopetala,,1,,,,,41,46,,49,38.75,21.49,0.55,6.57,,,,,48,28.5,0.06065
F. acmopetala,,1,,,,,40,45,,65,38.75,22.61,1.66,9.34,,,,,46,58.5,0.05371
F. acmopetala,,1,,,,,36,33,,37,39.18,22.61,2.54,7.06,,,,,26,20,0.03088
F. acmopetala,,1,,,,,45,43,,30,37.31,23.19,0.39,0,,,,,25,21,0.02748
F. acmopetala,,1,,,,,44,44,,,37.31,23.19,0.33,0.12,,,,,5,66,0.00503
F. acmopetala,,1,,,,,44,25,28,44,37.85,18.18,1.02,6.89,21.8,11.92,,70,7.4,9,0.00824
F. acmopetala,,1,,,,,31,26,27,2,36.19,18.18,1.63,7.49,,,,,3,28,
F. acmopetala,,1,,,,,48,31,26,31,36.19,17.48,1.68,5.32,,,,,0.8,48.25,0.01110
F. acmopetala,,1,,,,,,,,,35.78,17.48,0.62,6.42,,,,,10.6,9.25,0.00496
F. acmopetala,,1,,,,,,,,,38.38,17.59,1.08,7.14,,,,,,57.25,
F. acmopetala,,1,,,,,,,,,38.38,17.59,1.08,7.14,,,,,35,51.25,0.04462
F. acmopetala,,1,,,,,,,,,37.46,19.17,1.6,9.91,26.54,14.19,,45,18.5,62,0.02229
F. acmopetala,,1,,,,,,,,,36.5,19.86,1.64,8.61,,,,,19,65.75,0.02213
F. acmopetala,,1,,,,,,,,,36.5,18.44,0.92,10.47,,,,,20,62,0.03303
F. acmopetala,,1,,,,,,,,,37.38,19.61,1.83,8.71,,,,,,42.25,0.06096
F. acmopetala,,1,,,,,,,,,38.64,19.63,0.39,9.3,,,,,,32.5,
F. acmopetala,,1,,,,,,,,,38.23,19.63,1.74,9.01,,,,,12.5,26.25,0.01568
F. acmopetala,,1,,,,,,,,,40.56,19.69,1.64,6.65,22.15,11.49,,,43,23,0.03458
F. acmopetala,,1,,,,,,,,,39.52,19.62,1.14,6.55,,,,,1,31,0.00190
F. acmopetala,,1,,,,,,,,,39.39,20.75,1.2,5.32,,,,,7.6,38.5,0.00894
F. acmopetala,,1,,,,,,,,,39.56,19.92,0.92,4.93,,,,,36,30,0.03768
F. acmopetala,,1,,,,,,,,,38.52,20.86,0,6,,,,,35.5,46.5,0.03669
F. acmopetala,,1,,,,,,,,,34.82,22.67,0,4.15,,,,,60,10,0.06015
F. acmopetala,,1,,,,,,,,,34.82,20.51,0.86,9,,,,,37,21,0.03374
F. acmopetala,,1,,,,,,,,,34.8,19.32,0,10.78,,,,,55,27.25,0.05619
F. acmopetala,,1,,,,,,,,,33.82,19.06,0,6.98,,,,,34.5,46,0.03809
F. acmopetala,,1,,,,,,,,,33.19,20.59,0.74,9.43,,,,,44.5,49,0.05148
F. acmopetala,,1,,,,,,,,,34.93,20.06,0.73,,,,,,4,36.25,0.00304
F. acmopetala,,1,,,,,,,,,28.07,20.86,,,,,,,5,57.75,0.00701
F. acmopetala,,1,,,,,,,,,28.08,16.41,0.41,9.26,18.63,10.57,,,23.0807692307692,38.8362068965517,0.02963
F. acmopetala,,1,,,,,,,,,28.15,16.41,0.04,7.59,,,,,35,21,0.03613
F. acmopetala,,1,,,,,,,,,30.59,16.62,,5.07,,,,,18.5,17.5,0.01688
F. acmopetala,,1,,,,,,,,,30.42,17.91,0,5.19,,,,,28,18.5,0.00672
F. acmopetala,,1,,,,,,,,,30.42,,0,8.65,,,,,49,17,0.01337
F. acmopetala,,1,,,,,,,,,40.26,,,10.51,,,,,6,13.5,0.04163
F. acmopetala,,1,,,,,,,,,39.77,22.25,0.31,6.49,20.3,11.01,,,6.4,23,0.04142
F. acmopetala,,1,,,,,,,,,39.77,23.51,1.12,9.54,,,,,32,,0.02432
F. acmopetala,,1,,,,,,,,,38.3,22.35,1.31,9.03,,,,,46,,0.03644
F. acmopetala,,1,,,,,,,,,38.31,20.31,2.13,11.36,,,,,64.5,,0.06243
F. acmopetala,,1,,,,,,,,,38.31,21.04,1.05,8.87,,,,,56,,
F. acmopetala,,1,,,,,,,,,41.64,20.82,0,8.82,,,,,51.5,,
